galleryId	productId	photo	photoCoordinate	sequence	statu	guid	optionList
60	37	201404159a6fafiatalbeacamcitasivekapikoluveyankapicitasi.jpg	113,125,2048,1479.5,1935,1354.5	37	1	bc83e1f3-84b5-447a-85e3-50baa94701ed	NULL
61	38	20140415bccccfiatalbeabagajalticitasiveplakaustu(1).jpg	145,195,1855,1392,1710,1197	38	1	8d7e7d68-220d-46de-8fd3-e7f6a86d3e92	NULL
65	39	201404232798efiatlineakapikolu(2).png	0,63,710,560,710,497	39	1	028c24f5-a92b-41c5-9a58-6ce9337e51be	NULL
66	42	2014042370a0bfiatlineabagajcitasi(1).jpg	403,236,1812,1222.3,1409,986.3	40	1	5f6de7e1-031f-4c74-8a00-aef3e1b30c8d	NULL
67	43	201404234c91efiatlineabagajalticitasi(5).png	65,25,771,519.2,706,494.20000000000005	41	1	dc532a41-5ba2-4a53-bb99-c783ebd1168c	NULL
68	44	20140423b4f29fiatfreemont2009-2011camcercevesivekapidirek(4).jpg	102,133,1967.7142857142858,1439,1865.7142857142858,1306	42	1	d4555004-6dfc-4a33-a791-bac7c5142628	NULL
69	45	2014042353b7afiatfreemont2009-2011camcitasi.png	31,2,895.2857142857143,607,864.2857142857143,605	43	1	c1e8bc90-295a-4ada-a843-a98cd646c7c3	NULL
70	46	2014042389853fiatlineacamcitasi(1).jpg	0,33,797.1428571428571,591,797.1428571428571,558	44	1	ced79b21-5690-4cd3-b177-96db4bf95c67	NULL
71	47	201404233a288fiatpuntocamcitasivekelebekucgeni(1).jpg	0,26,1920,1370,1920,1344	45	1	881609a4-b483-4c61-9e96-0c04228ba353	NULL
72	48	201404284e90ffordmondeocamcercevesiveyankapicitasi.jpg	343,48,3404.4285714285716,2191,3061.4285714285716,2143	46	1	7a5198a0-3644-41fa-87f4-6caef695a99e	NULL
73	49	2014042880e26fordmondeo2008-2013camcercevesi(2).png	6,0,878.8571428571429,611,872.8571428571429,611	47	1	cb4ab874-0d19-4044-8ca6-68d1bd9eee55	NULL
74	51	20140628f5018fordfocus4camcitasi(1).jpg	0,14,2048,1447.6,2048,1433.6	48	1	94e4e9de-5718-4068-978f-3be3c4326ca5	NULL
78	52	20140628c01e6fordfocus4bagajcitasi(1).jpg	101,0,1638.142857142857,1076,1537.142857142857,1076	49	1	4a5567ba-e2c0-4bed-842f-46bd1313f121	NULL
79	53	201406288cfdafordfocus4camcercevesi(1).jpg	116,84,2048,1436.3999999999999,1932,1352.3999999999999	50	1	06df0797-940d-47ed-94fe-e802740e6237	NULL
82	54	20140628804d0fordfocus2camcitasi(3).png	0,0,752,526.4,752,526.4	51	1	5b1dcf98-99a1-46fd-910e-cb8c82c4cefb	NULL
83	55	20140628aab4bfordfocus2camcercevesi(1).jpg	26,99,1965,1456.3,1939,1357.3	52	1	181dcc67-6a3a-4545-9f3f-98ebe4c96ada	NULL
87	56	20140628ca750fordfocus4hbcamcercevesi(2).png	99,0,963.2857142857143,605,864.2857142857143,605	53	1	30318bfe-09f1-48a9-b300-47b224dc6405	NULL
88	57	20140629e4edbfordfiestacamcitasi(3).jpg	0,0,2048,1433.6,2048,1433.6	54	1	6759f88e-f927-4b78-848d-de3b478a2214	NULL
89	58	20140629992fefordfiestaarkatamponcitasi(1).png	0,0,811,567.6999999999999,811,567.6999999999999	55	1	17816934-4b3f-423b-8063-9bfe8e01b3fb	NULL
90	59	2014062972ab1fordfiestatitaniumonpanjur(2).jpg	0,0,2048,1433.6,2048,1433.6	56	1	2641cfd1-62e9-4ea1-8f14-130864f3cd37	NULL
93	60	20140629b945afordfiestacamcercevesi(1).png	0,16,847.1428571428571,609,847.1428571428571,593	57	1	59bcb1ae-dd6d-4d6e-8e5e-83a632aa8e61	NULL
94	61	2014062986907fordkugacamustucercevesi(2).png	216,19,993.1428571428571,563,777.1428571428571,544	58	1	88a9a7b3-b1ab-4216-8e66-add6a2e82aa1	NULL
95	62	201406299b7cbhondahrvcamcitasivekapidirek.jpg	0,131,1861.4285714285716,1434,1861.4285714285716,1303	59	1	ba72031b-1837-4cdb-b376-6bd7b0f48274	NULL
96	63	20140629defe5hondacrvcamcitasivekapidirek(1).jpg	0,21,590,434,590,413	60	1	c400f7d4-30ce-4c8d-8dc6-311dcf5a5908	NULL
97	64	20140629b044bhondacitycamcitasi(2).png	0,45,795.7142857142858,602,795.7142857142858,557	61	1	c4362feb-da90-44b8-b926-626f847192f1	NULL
98	65	20140629f778ehondacivic2012-2013camcitasi(1).jpg	120,37,1960,1325,1840,1288	62	1	dc1a2ca7-4a9a-47a6-88ed-89b74b4d1818	NULL
99	66	20140630a2f29hondacivic2007-2011camcercevesivekapidirek(2).jpg	52,32,590.5714285714286,409,538.5714285714286,377	63	1	f9317f51-120b-4e7c-a486-da804cf8b054	NULL
100	67	20140630b8f01hondacivic2007-2011camcitasi(1).jpg	140,109,640,459,500,350	64	1	e48e874a-56ba-4557-8118-b22aad8b4784	NULL
101	68	20140630dbf6ehondacivic2007-2011camcercevesi.jpg	92,30,720,469.59999999999997,628,439.59999999999997	65	1	15a9ea49-9b8e-4d4d-aead-2ae8f5671fb2	NULL
102	69	201407072eecchyundaisantafe2010-2011camcitasivekapidirek(3).jpg	0,17,1924.2857142857142,1364,1924.2857142857142,1347	66	1	660132b7-9c17-4e82-b3a6-aa8d20d3ef16	NULL
